blockchain,vault,name,description,entity
ethereum,0xD8b27CF359b7D15710a5BE299AF6e7Bf904984C2,Euler Prime WETH,A conservative WETH vault collateralized by other vaults in the Euler Prime cluster and escrow vaults.,euler-dao
ethereum,0xbC4B4AC47582c3E38Ce5940B80Da65401F4628f1,Euler Prime wstETH,A conservative wstETH vault collateralized by other vaults in the Euler Prime cluster and escrow vaults.,euler-dao
ethereum,0x7338d86137052F0dF6e9048d6D23e09735a99585,Euler Prime cbETH,A conservative cbETH vault collateralized by other vaults in the Euler Prime cluster and escrow vaults.,euler-dao
ethereum,0xe846ca062aB869b66aE8DcD811973f628BA82eAf,Euler Prime weETH,A conservative weETH vault collateralized by other vaults in the Euler Prime cluster and escrow vaults.,euler-dao
ethereum,0x797DD80692c3b2dAdabCe8e30C07fDE5307D48a9,Euler Prime USDC,A conservative USDC vault collateralized by other vaults in the Euler Prime cluster and escrow vaults.,euler-dao
ethereum,0x313603FA690301b0CaeEf8069c065862f9162162,Euler Prime USDT,A conservative USDT vault collateralized by other vaults in the Euler Prime cluster and escrow vaults.,euler-dao
ethereum,0x07F9A54Dc5135B9878d6745E267625BF0E206840,Euler Prime USDS,A conservative USDS vault collateralized by other vaults in the Euler Prime cluster and escrow vaults.,euler-dao
ethereum,0x1e548CfcE5FCF17247E024eF06d32A01841fF404,Euler Prime sUSDS,A conservative sUSDS vault collateralized by other vaults in the Euler Prime cluster and escrow vaults.,euler-dao
ethereum,0x298966b32C968884F716F762f6759e8e5811aE14,Euler Prime mTBILL,A conservative mTBILL vault collateralized by other vaults in the Euler Prime cluster and escrow vaults.,euler-dao
ethereum,0x9c6e67fA86138Ab49359F595BfE4Fb163D0f16cc,Euler Prime wM,A conservative wM vault collateralized by other vaults in the Euler Prime cluster and escrow vaults.,euler-dao
ethereum,0x9e714434A1c94B842b75631a70E07d13f2575368,Euler Prime tBTC,A conservative tBTC vault collateralized by other vaults in the Euler Prime cluster and escrow vaults.,euler-dao
ethereum,0x998D761eC1BAdaCeb064624cc3A1d37A46C88bA4,Euler Prime WBTC,A conservative WBTC vault collateralized by other vaults in the Euler Prime cluster and escrow vaults.,euler-dao
ethereum,0x056f3a2E41d2778D3a0c0714439c53af2987718E,Euler Prime cbBTC,A conservative cbBTC vault collateralized by other vaults in the Euler Prime cluster and escrow vaults.,euler-dao
ethereum,0xbC35161043EE2D74816d421EfD6a45fDa73B050A,Euler Prime LBTC,A conservative LBTC vault collateralized by other vaults in the Euler Prime cluster and escrow vaults.,euler-dao
ethereum,0xE88e44C2C7dfc9bcb86e380d29375ccD6cd85406,Euler Prime ezETH,A conservative ezETH vault collateralized by other vaults in the Euler Prime cluster and escrow vaults.,euler-dao
ethereum,0x0D1B386187be8e96680bbddBf7Bc05FC737f81b8,Euler Prime RETH,A conservative RETH vault collateralized by other vaults in the Euler Prime cluster and escrow vaults.,euler-dao
ethereum,0xddd082d01852EFccEc0DB5477F41f530Ecb0C136,Euler Prime mETH,A conservative mETH vault collateralized by other vaults in the Euler Prime cluster and escrow vaults.,euler-dao
ethereum,0x1924D7fab80d0623f0836Cbf5258a7fa734EE9D9,Euler Prime rsETH,A conservative rsETH vault collateralized by other vaults in the Euler Prime cluster and escrow vaults.,euler-dao
ethereum,0x9Dfe12dBd94eb8294b047Fabe3142C5d7178071b,Euler Prime ETHx,A conservative ETHx vault collateralized by other vaults in the Euler Prime cluster and escrow vaults.,euler-dao
ethereum,0x1D09693608C440205fd53D7062862CBf5a6Ca69a,Euler Prime wUSDM,A conservative wUSDM vault collateralized by other vaults in the Euler Prime cluster and escrow vaults.,euler-dao
ethereum,0x34716B7026D9e6247D21e37Da1f1b157b62a16e0,Euler Prime eBTC,A conservative eBTC vault collateralized by other vaults in the Euler Prime cluster and escrow vaults.,euler-dao
ethereum,0xd27159604ae512c056cf282933B838A4d38B1D17,Euler Prime solvBTC,A conservative solvBTC vault collateralized by other vaults in the Euler Prime cluster and escrow vaults.,euler-dao
ethereum,0xe0a80d35bB6618CBA260120b279d357978c42BCE,Euler Yield USDC,,euler-dao
ethereum,0x7c280DBDEf569e96c7919251bD2B0edF0734C5A8,Euler Yield USDT,,euler-dao
ethereum,0x519Ea32be221E2EBb066d4781359a1c96579840F,Euler Yield FDUSD,,euler-dao
ethereum,0x6121591077Dc6898Ffd7216eA1b56cb890b3F84d,Euler Yield PYUSD,,euler-dao
ethereum,0xe1Ce9AF672f8854845E5474400B6ddC7AE458a10,Euler Yield rlUSD,,euler-dao
ethereum,0x33A1ff36274B603Dd3dA01E266dB6B3fD8e5733D,Euler Yield wUSDM,,euler-dao
ethereum,0xffe871d5E03c318fE81E8f01b6E9C85047F8e87a,Euler Yield wUSDL,,euler-dao
ethereum,0x48Afe17cB6363fD1aaeA50a8CB652C5978972c96,Euler Yield wM,,euler-dao
ethereum,0xB9E422Ef76a06f2b30361d821A5f4751073771c3,Euler Yield USDS,,euler-dao
ethereum,0x1cA03621265D9092dC0587e1b50aB529f744aacB,Euler Yield sUSDS,,euler-dao
ethereum,0x83C266bdf990574a05EE62831a266a3891817B5B,Euler Yield DAI,,euler-dao
ethereum,0x8E4AF2F36ed6fb03E5E02Ab9f3C724B6E44C13b4,Euler Yield sDAI,,euler-dao
ethereum,0xdEd27A6da244a5f3Ff74525A2cfaD4ed9E5B0957,Euler Yield USD0,,euler-dao
ethereum,0x6D671B9c618D5486814FEb777552BA723F1A235C,Euler Yield USD0++,,euler-dao
ethereum,0x2daCa71Cb58285212Dc05D65Cfd4f59A82BC4cF6,Euler Yield USDe,,euler-dao
ethereum,0x498c014dE23f19700F51e85a384AB1B059F0672e,Euler Yield sUSDe,,euler-dao
ethereum,0x8E35E3aa6eFBC8D11Eb4F3b743f180257C80e517,Euler Yield mBASIS,,euler-dao
ethereum,0x2Ac5eB886859231280c08b3BD66ef80eD618fbc7,Euler Yield PT-USD0++-30JAN2025,,euler-dao
ethereum,0xc7De6cCA1f2aF5fAae1C098cc382287DF9C0c3F9,Euler Yield PT-USD0++-27MAR2025,,euler-dao
ethereum,0x29847715A8D621BBD34DB7380cE8164F69Be88A7,Euler Yield PT-USD0++-26JUN2025,,euler-dao
ethereum,0x37223B40d2CBf6b87Eed891ac02bc1670D03Fa8B,Euler Yield PT-sUSDe-27MAR2025,,euler-dao
ethereum,0xb7FC5ECF8E9F1DdBd8e039e189c7BBC575be23Ea,Euler Yield PT-sUSDe-29MAY2025,,euler-dao
ethereum,0xCC3f4c0Aa2867be66551b1c01CdCA393A3B01d88,Euler Yield PT-USDe-27MAR2025,,euler-dao
ethereum,0x67e4e4e73947257Ca62D118E0FBC56D06f11d96F,Re7 Labs Basic WETH,A WETH vault collateralized by other vaults in the Re7 Labs Basic Cluster.,re7-labs
ethereum,0xc41252D4F61D25658cD83Cc39942c49776E1B0C5,Re7 Labs Basic wstETH,A wstETH vault collateralized by other vaults in the Re7 Labs Basic Cluster.,re7-labs
ethereum,0xeE8693c11acE62839bB96beaE86696c1e78Aba3F,Re7 Labs Basic tBTC,A tBTC vault collateralized by other vaults in the Re7 Labs Basic Cluster.,re7-labs
ethereum,0x27052EA5E307B6e8566D9eE560231C6742a6c03c,Re7 Labs Basic USDC,A USDC vault collateralized by other vaults in the Re7 Labs Basic Cluster.,re7-labs
ethereum,0x82c710B9B225B43C0c90f097DB31f5f10a7F86FA,Re7 Labs Renzo ezETH,A ezETH vault collateralized by other vaults in the Re7 Labs Renzo Cluster.,re7-labs
ethereum,0x631D8E808f2c4177a8147Eaa39a4F57C47634dE8,Re7 Labs Renzo pzETH,A pzETH vault collateralized by other vaults in the Re7 Labs Renzo Cluster.,re7-labs
ethereum,0xa992d3777282c44ee980E9B0ca9Bd0c0E4f737aF,Re7 Labs Renzo WETH,A WETH vault collateralized by other vaults in the Re7 Labs Renzo Cluster.,re7-labs
ethereum,0xc40A68b5E536632b6572283F996B830B34607d01,Re7 Labs Renzo wstETH,A wstETH vault collateralized by other vaults in the Re7 Labs Renzo Cluster.,re7-labs
ethereum,0x315F93a074D0948E4D068e98a34092750ea8A38C,Apostro Lido Ecosystem USDC,Part of the Lido ecosystem cluster. This vault offers A-grade safety with the lowest insolvency risk. Risk manager: apostro.xyz.,apostro
ethereum,0xf9a23b059858CdD0e3ED0DDE89864BB82B88aa19,Apostro Lido Ecosystem WETH,Part of the Lido ecosystem cluster. This vault offers A-grade safety with the lowest insolvency risk. Risk manager: apostro.xyz.,apostro
ethereum,0x9167Ff08C18Ea05d70D5CBf0c576A33DCeE6de06,Alterscope Bedrock UNI,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0x25C538cc5c5B4cDdf9a9A656f90d2d8129E841B2,Alterscope Bedrock LINK,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0xD1552d878FE4869539ba4D03D207B54913a5C273,Alterscope Bedrock AAVE,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0xFc323C1727853872A85098EA89a6882853B708dd,Alterscope Bedrock GRT,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0xfC67343ac17B158deb69de67Ba8A2eD7C47F0C74,Alterscope Bedrock SKY,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0xd6506dB835B465d5d823add8667362d7b86cFe5F,Alterscope Bedrock ONDO,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0x5a0064007ddDEa2C8d6547A7B1E862c619500994,Alterscope Bedrock LDO,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0x41722452C0348501825C494ec6C1579e9c32D277,Alterscope Bedrock USDC,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0xF69FF7901E199AE4Fc354048DA09C23c7699716c,Alterscope Bedrock USDT,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0xEd667E0DE292C040CF2183302c8DBDe1C06447d7,Alterscope Bedrock PYUSD,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0xB77e25555C2b3e6BCe5329D83eFD248534A907Aa,Alterscope Bedrock AUSD,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0x1987c2DCf5674Cf90bEceBAd502714c357ce126a,Alterscope Bedrock EURC,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0x28c6F8D44179ac93a5EBAe24189d887eeEF38cea,Alterscope Bedrock USDS,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0x6fc6BeCAe0fFAA08f699ec072f31983821a4D7ce,Alterscope Bedrock USDE,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0xaE4D563FC348e0FC3697Ed940b23a86779e095C8,Alterscope Bedrock GHO,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0xb4f7761C459D09f414e1190df275be3E24535750,Alterscope Bedrock WETH,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0xd005125E525664feC9394CEE5466Da15262fFe01,Alterscope Bedrock WBTC,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0xa2f045eC60C624c46F1075FC589Df0f936F822C2,Alterscope Bedrock PAXG,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0x99ba39845C4A12341C4B8cCEba1F11F4f6f84046,Alterscope Ascend USDC,The vault with diverse collateralization options.,alterscope
ethereum,0xE5b9686c0cc4Be8a47eb4ed265d4203EA8232f94,Alterscope Ascend USDT,The vault with diverse collateralization options.,alterscope
ethereum,0xdFD25B2304f4F08031b4125ee49ea2Df6aB8B19b,Alterscope Ascend WETH,The vault with diverse collateralization options.,alterscope
ethereum,0x29D824d54Fd5118543E81637b8f865d045191F30,Alterscope LRT ynETH,Vaults designed for advanced liquid restaking strategies.,alterscope
ethereum,0x6d18F74AAD8494B789aE34b5455816F79664d209,Alterscope LRT ynETHx,Vaults designed for advanced liquid restaking strategies.,alterscope
ethereum,0x45c3B59d53e2e148Aaa6a857521059676D5c0489,Alterscope LRT YieldNest WETH,Vaults designed for advanced liquid restaking strategies for YieldNest products.,alterscope
ethereum,0x3f29460AaCdE3d6Ae0156aB1f8685bd21Eb37074,Alterscope USDC Genesis,"Part of the Alterscope Genesis Cluster, offering safety and low risk through collateralized vaults—powered by Alterscope’s expertise.",alterscope
ethereum,0x0E88544bf60bbc748FA542B79e9aE3Cf18Db7F75,Alterscope WETH Genesis,"Part of the Alterscope Genesis Cluster, offering safety and low risk through collateralized vaults—powered by Alterscope’s expertise.",alterscope
ethereum,0x1926f5Bb9ed68BA83255fB219828a90Bd9F40771,Alterscope wstETH Genesis,"Part of the Alterscope Genesis Cluster, offering safety and low risk through collateralized vaults—powered by Alterscope’s expertise.",alterscope
ethereum,0xBe4089616039eC3F7361B7058d92a90246ee86e0,Dinero Protocol WETH,A WETH vault collateralized by apxETH by Dinero Protocol.,dinero
ethereum,0xc4984bB39465465432321519839c489F4275B164,MEV Capital Berastone Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0x6b6976aA97CD2473B388fA9b9eEb8Cca4F5a77a4,MEV Capital wstETH Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0x6C37d34a895456AA29CABe0caCB60FC56309C7ac,MEV Capital cbETH Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0x9426C7a40d5C9DD709cbc2894a7E6481f265B6Bb,MEV Capital rETH Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0x01d1a1cd5955B2feFb167e8bc200A00BfAda8977,MEV Capital WOETH Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0x0DE3821015518a6179A51d27Bc7ed4a0a3C45b52,MEV Capital ETH+ Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0xb07bf05AF5a13D357AA1220c661BB0FB791beDcb,MEV Capital weETH Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0xE3ea69f8661FFac04E269f99C14ba73e2Bb10633,MEV Capital ezETH Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0x9913790dD5d3d8389f682a15e4Fa90a22891ff49,MEV Capital rsETH Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0xc5Ff8Dde483903ffd2fbE5bf54a02B80F2baE7F7,MEV Capital amphrETH Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0xFc1b4e3D8291746CCdEb813805C8912BBE0a7316,MEV Capital steakLRT Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0xe00A44e1210BAe0EACEeeaF202c349d4B16480FE,MEV Capital pzETH Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0x463Af6Add7b5806cF0EA30ec30F2030bF4F05175,MEV Capital rstETH Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0xe2D6A2a16ff6d3bbc4C90736A7e6F7Cc3C9B8fa9,MEV Capital WETH Borrowable,Component of the MEV Capital wETH Cluster,mev-capital
